Name,Calories
"Bananas, ripe and slightly ripe, raw",97.0
"Garlic, raw",138.67
"Flour, soy, defatted",357.0
"Flour, soy, full-fat",441.67
"Flour, rice, brown",366.08
"Flour, rice, glutinous",361.33
"Flour, pastry, unenriched, unbleached",361.33
"Onions, white, raw",34.67
"Bananas, overripe, raw",82.33
"Bananas, ripe and slightly ripe, raw",94.33
"Apples, red delicious, with skin, raw",60.0
"Apples, honeycrisp, with skin, raw",58.0
"Apples, granny smith, with skin, raw",57.0
"Apples, gala, with skin, raw",59.0
"Apples, fuji, with skin, raw",62.67
"Soy milk, unsweetened, plain, shelf stable",38.48
"Almond milk, unsweetened, plain, shelf stable",14.56
"Apples, red delicious, with skin, raw",58.71
"Apples, fuji, with skin, raw",61.43
"Apples, gala, with skin, raw",57.91
"Apples, granny smith, with skin, raw",55.91
"Apples, honeycrisp, with skin, raw",57.03
"Mushroom, lion's mane",38.89
"Mushroom, oyster",37.18
"Mushrooms, shiitake",40.24
"Mushrooms, white button",28.05
"Spinach, baby",23.67
"Spinach, mature",24.6
"Tomato, roma",20.46
"Mushroom, lion's mane",38.89
"Mushroom, oyster",37.18
"Mushrooms, shiitake",40.24
"Mushrooms, white button",28.05
"Soy milk, unsweetened, plain, shelf stable",38.48
"Almond milk, unsweetened, plain, shelf stable",14.56
"Spinach, baby",23.67
"Spinach, mature",24.6
"Tomato, roma",20.46
"Flour, 00",361.34
"Flour, spelt, whole grain",352.13
"Flour, semolina, coarse and semi-coarse",360.81
"Flour, semolina, fine",361.88
"Apple juice, with added vitamin C, from concentrate, shelf stable",47.8
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",46.47
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",65.31
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",65.39
"Cranberry juice, not fortified, from concentrate, shelf stable",31.7
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",40.46
"Tomato juice, with added ingredients, from concentrate, shelf stable",21.62
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",45.73
"Mushroom, portabella",29.23
"Mushroom, king oyster",42.43
"Mushroom, enoki",40.58
"Mushroom, crimini",26.96
"Mushroom, maitake",34.29
"Mushroom, beech",36.4
"Mushroom, pioppini",35.23
"Soy milk, sweetened, plain, refrigerated",40.7
"Almond milk, unsweetened, plain, refrigerated",19.33
"Oat milk, unsweetened, plain, refrigerated",48.33
"Carrots, mature, raw",46.48
"Carrots, baby, raw",39.51
"Peppers, bell, green, raw",21.31
"Peppers, bell, yellow, raw",28.68
"Peppers, bell, red, raw",29.16
"Peppers, bell, orange, raw",29.56
"Buttermilk, low fat",42.88
"Yogurt, plain, whole milk",77.64
"Yogurt, Greek, plain, whole milk",94.09
"Cheese, parmesan, grated, refrigerated",404.07
"Cheese, feta, whole milk, crumbled",273.18
"Flour, almond",599.83
"Flour, oat, whole grain",387.78
"Flour, potato",356.73
"Peanut butter, creamy",610.52
"Sesame butter, creamy",672.76
"Almond butter, creamy",623.98
"Flaxseed, ground",529.76
"Strawberries, raw",34.53
"Raspberries, raw",54.37
"Blueberries, raw",60.62
"Grapes, red, seedless, raw",81.54
"Grapes, green, seedless, raw",76.02
"Applesauce, unsweetened, with added vitamin C",49.01
"Cottage cheese, full fat, large or small curd",103.75
"Cream cheese, full fat, block",339.76
"Cream, heavy",339.6
"Cream, sour, full fat",194.58
"Lettuce, iceberg, raw",15.78
"Lettuce, romaine, green, raw",19.11
"Lettuce, leaf, red, raw",16.11
"Lettuce, leaf, green, raw",20.27
"Nuts, pine nuts, raw",665.8
"Nuts, almonds, whole, raw",604.67
"Nuts, walnuts, English, halves, raw",704.11
"Nuts, pecans, halves, raw",724.87
"Oats, whole grain, rolled, old fashioned",380.25
"Oats, whole grain, steel cut",380.23
"Pineapple, raw",57.08
"Cherries, sweet, dark red, raw",66.92
"Beans, snap, green, raw",36.78
"Potatoes, russet, without skin, raw",82.19
"Potatoes, red, without skin, raw",74.47
"Potatoes, gold, without skin, raw",72.52
"Sweet potatoes, orange flesh, without skin, raw",78.18
"Celery, raw",15.76
"Cucumber, with peel, raw",14.92
"Cabbage, green, raw",29.65
"Cabbage, red, raw",32.0
"Strawberries, raw",34.53
"Raspberries, raw",54.37
"Blueberries, raw",60.62
"Grapes, red, seedless, raw",81.54
"Grapes, green, seedless, raw",76.02
"Applesauce, unsweetened, with added vitamin C",49.01
"Flour, amaranth",381.02
"Flour, quinoa",381.8
"Flour, sorghum",369.39
"Flour, buckwheat",346.13
"Flour, rye",355.18
"Flour, barley",361.86
"Flour, cassava",357.96
"Buckwheat, whole grain",343.87
"Millet, whole grain",378.11
"Rice, brown, long grain, unenriched, raw",366.94
"Rice, white, long grain, unenriched, raw",364.17
"Beef, ground, 90% lean meat / 10% fat, raw",187.5
"Beef, ground, 80% lean meat / 20% fat, raw",245.21
"Pork, ground, raw",230.86
"Chicken, ground, with additives, raw",135.59
"Turkey, ground, 93% lean/ 7% fat, raw",155.1
"Nuts, brazilnuts, raw",642.27
"Nuts, cashew nuts, raw",549.07
"Nuts, hazelnuts or filberts, raw",621.89
"Peanuts, raw",569.48
"Flour, chestnut",384.63
"Nuts, macadamia nuts, raw",690.22
"Nuts, pistachio nuts, raw",579.33
"Seeds, pumpkin seeds (pepitas), raw",534.72
"Seeds, sunflower seed, kernel, raw",590.05
"Flour, coconut",430.66
"Beans, cannellini, dry",340.91
"Chickpeas, (garbanzo beans, bengal gram), dry",377.5
"Lentils, dry",355.61
"Blackeye pea, dry",349.79
"Beans, black, canned, sodium added, drained and rinsed",116.82
"Beans, navy, canned, sodium added, drained and rinsed",117.31
"Beans, cannellini, canned, sodium added, drained and rinsed",113.77
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",135.1
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",124.9
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",125.11
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",78.97
"Beans, pinto, canned, sodium added, drained and rinsed",115.08
"Blackeye pea, canned, sodium added, drained and rinsed",114.46
"Beans, great northern, canned, sodium added, drained and rinsed",115.25
"Pork, loin, boneless, raw",170.75
"Pork, loin, tenderloin, boneless, raw",122.03
"Chicken, breast, boneless, skinless, raw",109.12
"Chicken, thigh, boneless, skinless, raw",146.69
"Beef, ribeye, steak, boneless, choice, raw",256.86
"Beef, round, top round, boneless, choice, raw",143.54
"Beef, chuck, roast, boneless, choice, raw",234.4
"Beef, flank, steak, boneless, choice, raw",166.73
"Yogurt, plain, nonfat",50.04
"Cheese, monterey jack, solid",391.23
"Cheese, pasteurized process cheese food or product, American, singles",308.83
"Cheese, provolone, sliced",356.85
"Cheese, oaxaca, solid",297.6
"Cheese, queso fresco, solid",297.51
"Cheese, cotija, solid",351.58
"Fish, salmon, sockeye, wild caught, raw",133.1
"Fish, salmon, Atlantic, farm raised, raw",200.2
"Fish, tilapia, farm raised, raw",97.31
"Crustaceans, shrimp, farm raised, raw",73.56
"Fish, cod, Atlantic, wild caught, raw",68.23
"Fish, catfish, farm raised, raw",131.45
